0 1 0.737684 0.544697 0.402696 0.298198 0.221504 0.164565 0.122691 0.0920063 0.0694165 0.0524255 0.0397228 0.0302653 0.0231243 0.0175084 0.0129517 0.0090949 0.0057214 0.00270874 1e-06 
1 -1906.7 -1908.06 -1907.52 -1914.15 -1910.32 -1908.25 -1906.16 -1912.76 -1925.58 -1926.12 -1929.73 -1909.56 -1919.36 -1913.99 -2002.47 -2104.06 -2026.23 -1928.24 -2004.25 -1927.42 
1 -1905.87 -1906.09 -1910.21 -1906.16 -1909.36 -1906.47 -1910.78 -1913.99 -1907.52 -1906.7 -1914.15 -1926.12 -1985.75 -1909.56 -1907.93 -1922.42 -1929.3 -2045.75 -2035.9 -2231.64 
1 -1907.93 -1905.84 -1909.32 -1907.52 -1906.1 -1909.38 -1910.57 -1915.48 -1906.72 -1910.21 -1926.12 -1918.66 -1910.76 -2027.82 -1906.47 -2036.04 -1924.59 -1942.24 -2081.75 -2231.64 
1 -1905.77 -1906.48 -1908.04 -1905.74 -1907.73 -1909.38 -1908.43 -1909.32 -1925.3 -1908.37 -1915.66 -1926.12 -1918.53 -2105.97 -1915 -2081.75 -2004.85 -1908.12 -2027.82 -2395.62 
1 -1906.17 -1910.19 -1908.37 -1906.24 -1908.12 -1905.98 -1914.51 -1909.32 -1915 -1910.58 -1925.43 -1925.3 -1916.66 -1982.43 -2027.82 -2007.08 -1926.96 -2249.4 -2004.85 -1997.69 
1 -1907.41 -1908.84 -1906.24 -1908.37 -1912.09 -1906.85 -1908.46 -1915 -1918.57 -1941.9 -1906.24 -1916.66 -1951.4 -1919.47 -1910.15 -1926.2 -2016.22 -2048.04 -2249.4 -1988.15 
1 -1908.37 -1906.85 -1907.78 -1906.72 -1906.35 -1914.58 -1912.34 -1918.57 -1910.15 -1918.24 -1906.64 -1926.2 -1943.63 -1907.08 -1940.1 -1933.91 -2055.14 -2172.56 -2016.22 -2048.04 
1 -1906.35 -1906.75 -1906.88 -1907.6 -1906.85 -1908.19 -1918.24 -1940.1 -1922.67 -1931.34 -1917 -1907.78 -1949.59 -1924.85 -1993.28 -1939.07 -2048.04 -1910.16 -2024.7 -2055.14 
1 -1905.7 -1911.61 -1906.19 -1910.16 -1906.88 -1907.6 -1913.01 -1910.24 -1924.46 -1908.41 -1910.41 -1921.44 -1948.99 -2024.7 -1918.44 -1918.24 -2004.76 -1989.36 -2048.04 -2017.43 
1 -1906.36 -1907.89 -1906.13 -1908 -1909.46 -1910.5 -1907.6 -1910.41 -1916.49 -1921.44 -1937.56 -1918.24 -1963 -1906.31 -1924.39 -2017.43 -1959.46 -2048.04 -1971.81 -2068.37 
1 -1906.63 -1907.6 -1909.08 -1907.6 -1908.27 -1914.36 -1909.4 -1909.02 -1909.46 -1911.47 -1937.56 -1916.57 -1944.14 -1908 -1939.68 -1971.81 -2033.86 -1982.32 -1971.94 -1959.46 
1 -1908.01 -1908 -1906.29 -1908.03 -1908.88 -1911.47 -1910.22 -1937.56 -1921.26 -1909.55 -1917.37 -1951.41 -1907.68 -1914.36 -1916.57 -2002.74 -1937.97 -1971.81 -1959.46 -2014.63 
1 -1906.29 -1906.7 -1906.35 -1907.68 -1913.25 -1906.2 -1922.03 -1911.39 -1921.26 -1925.92 -2018.95 -1937.97 -1959.63 -1939.99 -1955.22 -1909.55 -1921.74 -1914.2 -1971.81 -2042.64 
1 -1906 -1908.75 -1906.48 -1908.96 -1906.67 -1907.68 -1906.56 -1921.26 -1921.74 -1941.87 -1909.69 -1959.63 -1948.85 -2018.95 -1924.51 -2041.44 -1920.36 -1936.56 -1956.48 -1937.97 
1 -1906.48 -1906.56 -1906.67 -1906.28 -1908.75 -1907.47 -1908.02 -1935.41 -1907.72 -1921.89 -1926.83 -1924.3 -1941.87 -1920.36 -2008.69 -1929.63 -1948.85 -1940.48 -1908.39 -2056.27 
1 -1909.86 -1908.25 -1906.11 -1906.54 -1907.07 -1908.38 -1924.3 -1908.02 -1913.44 -1921.89 -1929.63 -1941.56 -2008.41 -1940.48 -1924.98 -1960.96 -1983.73 -1908.39 -2085.84 -2069.86 
1 -1906.54 -1910.24 -1906.05 -1906.48 -1906.55 -1914.83 -1908.38 -1907.07 -1949.85 -1924.98 -1921.89 -1916.8 -1941.42 -1905.68 -1910.46 -2034.28 -2053.85 -2085.84 -1910.42 -2069.86 
1 -1907.92 -1906.55 -1906.53 -1905.68 -1910.42 -1906.49 -1919 -1908.1 -1916.49 -1914 -1914.83 -1920.67 -1919.8 -1910.46 -2099.59 -1921.89 -2053.85 -2034.28 -1967.18 -2050.09 
1 -1906.16 -1906.66 -1906.05 -1914.13 -1909.94 -1907.38 -1909.03 -1912.41 -1907.47 -1908.15 -1931.53 -1924.6 -2034.28 -2039.52 -1909.27 -1945.26 -2036.14 -2050.09 -2111.21 -1916.49 
1 -1905.96 -1907.47 -1906.57 -1907.18 -1905.84 -1906.09 -1908.15 -1938.84 -1907.09 -1909.27 -1943.53 -1928.34 -2051.78 -1924.6 -1906.43 -1945.26 -1906.61 -2021.25 -2036.14 -2117.08 
1 -1905.9 -1907.09 -1906.61 -1905.97 -1908.72 -1907.47 -1907.02 -1905.84 -1906.4 -1919.18 -1941.82 -1914.98 -1906.43 -1938.84 -1924.6 -1937.78 -2051.78 -2067.42 -2030.5 -2036.14 
1 -1906.05 -1905.93 -1907.47 -1907.05 -1907.09 -1914.7 -1911.58 -1906.72 -1907.92 -1906.73 -1919.5 -2032.84 -2036.14 -1908.72 -1944.37 -1907.2 -1928.91 -1937.78 -2075.93 -2269.18 
1 -1905.93 -1908.24 -1907.05 -1906.35 -1910.07 -1909.53 -1907.47 -1928.91 -1907.77 -1906.72 -1939.57 -1912.04 -1934.71 -1914.7 -1966.14 -1992.02 -2075.93 -2032.84 -2196.34 -1913.98 
1 -1906.13 -1905.9 -1906.42 -1906.08 -1906.85 -1908.24 -1909.53 -1907.77 -1928.91 -1910.09 -1907.05 -1913.98 -1955.62 -1917.82 -1936.57 -1934.71 -2012.8 -2264 -2032.84 -2071.19 
1 -1906.01 -1907.58 -1906.42 -1906.11 -1909.53 -1905.76 -1906.08 -1910.1 -1920.72 -1917.43 -1913.29 -1913.98 -1907.81 -1931.95 -2069.63 -1955.62 -1942.44 -2032.84 -2071.19 -2264 
1 -1906.59 -1907.58 -1909.39 -1908.26 -1910.16 -1911.75 -1906.88 -1916.2 -1912.79 -1922.6 -1929.56 -1907.81 -1913.98 -1920.57 -1917.43 -2071.19 -2027.87 -1998.32 -1961.76 -2264 
1 -1907.58 -1906.23 -1906.83 -1907.68 -1910.59 -1907.75 -1911.75 -1919.1 -1913 -1908.28 -1917.09 -1946.67 -1929.56 -1907.56 -1925.11 -2035.91 -2080.56 -2027.87 -1922.6 -2071.19 
1 -1906.18 -1906.12 -1906.23 -1907.91 -1916.74 -1906.61 -1910.35 -1927.65 -1907.56 -1906.4 -1929.48 -1911.56 -2035.19 -1925.11 -1946.67 -1913.99 -1912.71 -2071.19 -2144.79 -2080.56 
1 -1905.9 -1912.71 -1906.12 -1906.04 -1910.02 -1907.91 -1906.17 -1908.72 -1911.33 -1913.99 -1907.47 -1925.11 -1919.64 -2144.79 -2060.38 -1933.97 -1927.65 -1967.33 -2068.71 -2050.63 
1 -1906.8 -1906.12 -1906.25 -1907.05 -1907.47 -1912.71 -1909.79 -1906.08 -1907.01 -1917.1 -1909.17 -1916.9 -1949.89 -1990.6 -1906.56 -2068.05 -1911.38 -2029.43 -2068.71 -2124.68 
